year,species,bud_burst,first_leaf,full_leaf,open_flowers,ripe_fruit,colored_leaves,leaves_dropped
1883,Cornus florida,130,143,152,140,999,271,289
1883,Juglans nigra,132,147,158,159,999,274,295
1883,Carya ovata,120,138,146,150,999,283,301
1883,Carya glabra,130,140,147,999,281,305,999
1883,Populus tremuloides,116,121,125,104,999,279,293
1883,Populus deltoides,115,123,135,101,999,278,298
1883,Salix nigra,112,123,135,127,999,271,293
1883,Ostrya virginiana,120,128,135,999,999,281,305
1883,Quercus velutina,133,145,154,146,999,288,309
1883,Quercus alba,128,142,156,143,999,291,314
1883,Quercus macrocarpa,113,138,153,143,999,291,314
1883,Quercus bicolor,999,999,999,999,999,999,999
1883,Ulmus americana,107,125,138,99,999,277,298
1883,Maclura pomifera,144,152,159,999,999,288,308
1883,Sassafras albidum,130,144,156,147,999,273,303
1883,Hamamelis virginiana,135,141,146,281,999,278,293
1883,Platanus occidentalis,138,153,171,999,999,279,305
1883,Gymnocladus dioicus,130,145,161,999,999,268,293
1883,Rhus typhina,999,999,999,999,999,999,999
1883,Acer saccharinum,113,129,139,999,999,282,305
1883,Acer saccharum,122,132,140,108,999,278,312
1883,Acer negundo,999,999,999,999,999,999,999
1883,Aesculus glabra,999,999,999,999,999,999,999
1883,Diospyros virginiana,999,999,999,999,999,999,999
1883,Fraxinus americana,131,145,156,140,999,274,293
1883,Fraxinus nigra,132,145,156,141,999,273,293
1884,Cornus florida,130,138,147,139,999,283,317
1884,Juglans nigra,127,143,158,178,999,262,291
1884,Carya ovata,128,137,143,143,999,270,313
1884,Carya glabra,127,133,142,140,999,268,308
1884,Populus tremuloides,107,118,129,101,999,278,313
1884,Populus deltoides,120,128,136,119,999,260,300
1884,Salix nigra,119,127,139,137,999,268,304
1884,Ostrya virginiana,113,124,139,129,999,266,311
1884,Quercus velutina,128,135,143,143,999,287,326
1884,Quercus alba,127,135,144,146,999,287,325
1884,Quercus macrocarpa,126,134,143,142,999,275,321
1884,Quercus bicolor,999,999,999,999,999,999,999
1884,Ulmus americana,108,120,137,109,999,267,315
1884,Maclura pomifera,128,137,146,999,999,282,330
1884,Sassafras albidum,127,140,153,153,999,274,313
1884,Hamamelis virginiana,111,124,133,299,999,275,305
1884,Platanus occidentalis,131,145,156,999,999,284,315
1884,Gymnocladus dioicus,127,145,158,999,999,260,289
1884,Rhus typhina,126,143,155,172,999,263,294
1884,Acer saccharinum,113,127,138,120,999,283,315
1884,Acer saccharum,122,133,140,120,999,283,315
1884,Acer negundo,999,999,999,999,999,999,999
1884,Aesculus glabra,119,132,141,144,999,283,315
1884,Diospyros virginiana,999,999,999,999,999,999,999
1884,Fraxinus americana,126,136,145,129,999,283,298
1884,Fraxinus nigra,125,136,144,128,999,279,296
1885,Cornus florida,133,146,156,999,999,278,299
1885,Juglans nigra,139,148,162,159,999,282,296
1885,Carya ovata,133,140,145,144,999,269,292
1885,Carya glabra,135,141,145,146,999,267,291
1885,Populus tremuloides,110,127,136,110,999,263,311
1885,Populus deltoides,114,131,143,116,999,273,295
1885,Salix nigra,112,127,139,137,999,282,311
1885,Ostrya virginiana,110,120,126,125,999,274,293
1885,Quercus velutina,136,143,149,147,999,275,310
1885,Quercus alba,133,142,150,146,999,277,317
1885,Quercus macrocarpa,132,140,146,143,999,282,310
1885,Quercus bicolor,999,999,999,999,999,999,999
1885,Ulmus americana,113,999,139,112,999,270,295
1885,Maclura pomifera,133,143,150,999,999,282,310
1885,Sassafras albidum,136,146,154,149,999,282,302
1885,Hamamelis virginiana,130,138,144,289,999,271,296
1885,Platanus occidentalis,139,146,152,202,999,274,306
1885,Gymnocladus dioicus,138,148,155,165,999,253,276
1885,Rhus typhina,141,146,150,177,999,271,300
1885,Acer saccharinum,114,128,139,112,999,272,310
1885,Acer saccharum,114,127,137,114,999,273,297
1885,Acer negundo,999,999,999,999,999,999,999
1885,Aesculus glabra,124,132,141,142,999,289,303
1885,Diospyros virginiana,146,153,157,999,999,283,297
1885,Fraxinus americana,138,145,150,167,999,273,286
1885,Fraxinus nigra,127,144,149,164,999,269,291
1886,Cornus florida,118,126,141,127,270,283,289
1886,Juglans nigra,118,129,139,149,265,278,287
1886,Carya ovata,114,123,136,131,263,281,288
1886,Carya glabra,115,124,140,129,269,288,293
1886,Populus tremuloides,107,111,116,111,122,303,317
1886,Populus deltoides,112,120,130,109,145,283,297
1886,Salix nigra,102,110,120,120,141,295,311
1886,Ostrya virginiana,109,118,126,123,225,293,297
1886,Quercus velutina,114,131,140,122,267,297,311
1886,Quercus alba,114,129,137,126,258,296,312
1886,Quercus macrocarpa,114,128,138,124,271,293,310
1886,Quercus bicolor,114,128,138,125,263,295,308
1886,Ulmus americana,106,118,127,109,131,285,307
1886,Maclura pomifera,113,124,136,160,305,308,315
1886,Sassafras albidum,111,130,146,122,236,285,301
1886,Hamamelis virginiana,114,119,128,282,242,283,298
1886,Platanus occidentalis,119,130,151,186,263,293,309
1886,Gymnocladus dioicus,116,127,149,155,999,283,286
1886,Rhus typhina,113,124,135,163,281,279,295
1886,Acer saccharinum,110,113,126,112,999,272,310
1886,Acer saccharum,113,126,132,105,999,278,298
1886,Acer negundo,999,999,999,999,999,999,999
1886,Aesculus glabra,108,112,119,122,999,305,314
1886,Diospyros virginiana,124,136,150,999,999,271,283
1886,Fraxinus americana,115,126,145,114,227,278,288
1886,Fraxinus nigra,115,126,139,114,208,278,286
1887,Cornus florida,123,140,141,131,255,283,291
1887,Juglans nigra,132,140,150,146,274,263,274
1887,Carya ovata,130,136,145,138,274,268,298
1887,Carya glabra,131,137,146,136,274,268,303
1887,Populus tremuloides,116,123,130,101,130,283,312
1887,Populus deltoides,129,135,145,117,148,283,293
1887,Salix nigra,105,128,133,130,142,268,298
1887,Ostrya virginiana,116,123,132,130,242,268,293
1887,Quercus velutina,125,135,147,140,274,283,301
1887,Quercus alba,130,136,146,140,273,283,305
1887,Quercus macrocarpa,126,134,145,139,268,288,297
1887,Quercus bicolor,124,136,146,138,271,285,301
1887,Ulmus americana,106,124,132,101,138,268,309
1887,Maclura pomifera,129,134,145,162,283,268,309
1887,Sassafras albidum,132,138,150,131,263,268,285
